decision,reason,source,source_url,title,journal,publication_date,date_evidence,pmid,doi,doi_url,article_types
"excluded","Daily-life study of experimentally induced ruminative and mindful self-focus across the menstrual cycle, not a completed randomized mindfulness treatment trial.","PubMed","https://pubmed.ncbi.nlm.nih.gov/39244948/","Induced ruminative and mindful self-focus in daily life across the menstrual cycle in women with and without premenstrual dysphoric disorder.","Behaviour research and therapy","2024-12","Returned PubMed publication_date metadata","39244948","10.1016/j.brat.2024.104630","https://doi.org/10.1016/j.brat.2024.104630","Journal Article; Research Support, Non-U.S. Gov't"
"excluded","Commentary on the potential of mindfulness-based cognitive therapy, not an intervention study.","PubMed","https://pubmed.ncbi.nlm.nih.gov/39320876/","Mindfulness-Based Cognitive Therapy's Untapped Potential.","JAMA psychiatry","2024-11-01","Returned PubMed publication_date metadata","39320876","10.1001/jamapsychiatry.2024.2741","https://doi.org/10.1001/jamapsychiatry.2024.2741","Journal Article"
"included","Primary parallel-arm RCT comparing behavioral activation therapy with individually delivered MBCT for adults with anhedonia.","PubMed","https://pubmed.ncbi.nlm.nih.gov/39213738/","A parallel-arm, randomized trial of Behavioral Activation Therapy for anhedonia versus mindfulness-based cognitive therapy for adults with anhedonia.","Behaviour research and therapy","2024-11","Returned PubMed publication_date metadata","39213738","10.1016/j.brat.2024.104620","https://doi.org/10.1016/j.brat.2024.104620","Journal Article; Randomized Controlled Trial; Research Support, N.I.H., Extramural"
"excluded","Experimental autobiographical-memory processing study in an anhedonic sample; it does not evaluate a mindfulness intervention arm.","PubMed","https://pubmed.ncbi.nlm.nih.gov/39067316/","Experiential processing increases positive affect and decreases dampening appraisals during autobiographical memory recall in an anhedonic sample.","Behaviour research and therapy","2024-10","Returned PubMed publication_date metadata","39067316","10.1016/j.brat.2024.104606","https://doi.org/10.1016/j.brat.2024.104606","Journal Article; Research Support, Non-U.S. Gov't"
"excluded","Randomized VR self-compassion training experiment testing visual biofeedback; mindfulness was described as a component of self-compassion, not the intervention under evaluation.","PubMed","https://pubmed.ncbi.nlm.nih.gov/38896949/","Receiving self-compassion in the virtual world: Testing the potential value of biofeedback.","Behaviour research and therapy","2024-09","Returned PubMed publication_date metadata","38896949","10.1016/j.brat.2024.104596","https://doi.org/10.1016/j.brat.2024.104596","Journal Article"
"uncertain","Primary RCT of SEKT versus supportive therapy; SEKT integrates elements of MBCT but is a broader multicomponent psychotherapy, making mindfulness-intervention eligibility ambiguous.","PubMed","https://pubmed.ncbi.nlm.nih.gov/38837133/","Adjuvant Psychotherapies to Prevent Relapse in Bipolar Disorder: A Randomized Clinical Trial.","JAMA psychiatry","2024-09-01","Returned PubMed publication_date metadata","38837133","10.1001/jamapsychiatry.2024.1310","https://doi.org/10.1001/jamapsychiatry.2024.1310","Journal Article; Randomized Controlled Trial"
"included","Primary randomized clinical trial comparing grief-focused CBT with MBCT for prolonged grief disorder.","PubMed","https://pubmed.ncbi.nlm.nih.gov/38656428/","Cognitive Behavior Therapy vs Mindfulness in Treatment of Prolonged Grief Disorder: A Randomized Clinical Trial.","JAMA psychiatry","2024-07-01","Returned PubMed publication_date metadata","38656428","10.1001/jamapsychiatry.2024.0432","https://doi.org/10.1001/jamapsychiatry.2024.0432","Journal Article; Randomized Controlled Trial; Comparative Study"
"excluded","Primary RCT of self-compassionate touch versus finger tapping; it does not evaluate a mindfulness intervention.","PubMed","https://pubmed.ncbi.nlm.nih.gov/38412573/","Daily micropractice can augment single-session interventions: A randomized controlled trial of self-compassionate touch and examining their associations with habit formation in US college students.","Behaviour research and therapy","2024-04","Returned PubMed publication_date metadata","38412573","10.1016/j.brat.2024.104498","https://doi.org/10.1016/j.brat.2024.104498","Randomized Controlled Trial; Journal Article; Research Support, Non-U.S. Gov't; Research Support, N.I.H., Extramural"
"excluded","Explicit secondary analysis of a randomized MORE trial examining self-transcendence, universal love, and opioid outcomes.","PubMed","https://pubmed.ncbi.nlm.nih.gov/38395015/","Mindfulness-induced self-transcendence promotes universal love with consequent effects on opioid misuse.","Behaviour research and therapy","2024-04","Returned PubMed publication_date metadata","38395015","10.1016/j.brat.2024.104494","https://doi.org/10.1016/j.brat.2024.104494","Randomized Controlled Trial; Journal Article; Research Support, N.I.H., Extramural"
"included","Primary randomized clinical trial of telehealth Mindfulness-Oriented Recovery Enhancement versus usual care for opioid use disorder and pain.","PubMed","https://pubmed.ncbi.nlm.nih.gov/38061786/","Telehealth Mindfulness-Oriented Recovery Enhancement vs Usual Care in Individuals With Opioid Use Disorder and Pain: A Randomized Clinical Trial.","JAMA psychiatry","2024-04-01","Returned PubMed publication_date metadata","38061786","10.1001/jamapsychiatry.2023.5138","https://doi.org/10.1001/jamapsychiatry.2023.5138","Randomized Controlled Trial; Journal Article"
"included","Primary RCT comparing MBCT-Taking it Further with ongoing mindfulness practice among prior MBCT/MBSR graduates.","PubMed","https://pubmed.ncbi.nlm.nih.gov/38244384/","Mindfulness-Based Cognitive Therapy-Taking it Further (MBCT-TiF) compared to Ongoing Mindfulness Practice (OMP) in the promotion of well-being and mental health: A randomised controlled trial with graduates of MBCT and MBSR.","Behaviour research and therapy","2024-02","Returned PubMed publication_date metadata","38244384","10.1016/j.brat.2024.104478","https://doi.org/10.1016/j.brat.2024.104478","Randomized Controlled Trial; Journal Article; Research Support, Non-U.S. Gov't"
"included","Primary RCT evaluating behavioral activation and mindfulness conditions for reward sensitivity and depressive symptoms.","PubMed","https://pubmed.ncbi.nlm.nih.gov/38128402/","Effectiveness of behavioral activation and mindfulness in increasing reward sensitivity and reducing depressive symptoms - A randomized controlled trial.","Behaviour research and therapy","2024-02","Returned PubMed publication_date metadata","38128402","10.1016/j.brat.2023.104455","https://doi.org/10.1016/j.brat.2023.104455","Randomized Controlled Trial; Journal Article"
"excluded","Primary RCT of mobile acceptance and commitment therapy for PTSD; the tested intervention is ACT rather than a defined mindfulness intervention.","PubMed","https://pubmed.ncbi.nlm.nih.gov/37992482/","Efficacy and acceptability of mobile application-delivered acceptance and commitment therapy for posttraumatic stress disorder in China: A randomized controlled trial.","Behaviour research and therapy","2023-12","Returned PubMed publication_date metadata","37992482","10.1016/j.brat.2023.104440","https://doi.org/10.1016/j.brat.2023.104440","Randomized Controlled Trial; Journal Article; Research Support, Non-U.S. Gov't"
"excluded","Systematic review and meta-analysis of attrition and engagement in mindfulness-app RCTs, not an individual trial report.","PubMed","https://pubmed.ncbi.nlm.nih.gov/37862854/","Rates of attrition and engagement in randomized controlled trials of mindfulness apps: Systematic review and meta-analysis.","Behaviour research and therapy","2023-11","Returned PubMed publication_date metadata","37862854","10.1016/j.brat.2023.104421","https://doi.org/10.1016/j.brat.2023.104421","Meta-Analysis; Systematic Review; Journal Article"
"included","Primary randomized study of brief mindfulness versus control during thyroid fine-needle aspiration, reporting adverse-event and stress outcomes.","PubMed","https://pubmed.ncbi.nlm.nih.gov/39491311/","Effects of brief mindfulness on anxiety-provoked adverse events during ultrasound-guided fine-needle aspiration biopsy of thyroid nodules.","Behaviour research and therapy","2023-10-21","Returned PubMed publication_date metadata","39491311","10.1016/j.brat.2023.104418","https://doi.org/10.1016/j.brat.2023.104418","Journal Article"
"included","Primary cluster RCT of a universal school-based mindfulness intervention reporting anhedonia, distress, and mechanism outcomes.","PubMed","https://pubmed.ncbi.nlm.nih.gov/37797436/","The effect of universal school-based mindfulness on anhedonia and emotional distress and its underlying mechanisms: A cluster randomised controlled trial via experience sampling in secondary schools.","Behaviour research and therapy","2023-10","Returned PubMed publication_date metadata","37797436","10.1016/j.brat.2023.104405","https://doi.org/10.1016/j.brat.2023.104405","Randomized Controlled Trial; Journal Article"
"excluded","Secondary process analysis of homework completion and symptoms in two treatments for anhedonia, not the primary randomized trial report.","PubMed","https://pubmed.ncbi.nlm.nih.gov/37148652/","Parsing within & between-person dynamics of therapy homework completion and clinical symptoms in two cognitive behavioral treatments for adults with anhedonia.","Behaviour research and therapy","2023-07","Returned PubMed publication_date metadata","37148652","10.1016/j.brat.2023.104322","https://doi.org/10.1016/j.brat.2023.104322","Journal Article; Randomized Controlled Trial; Research Support, N.I.H., Extramural"
"included","Primary LIGHTMind randomized clinical trial comparing supported MBCT self-help with supported CBT self-help for depression.","PubMed","https://pubmed.ncbi.nlm.nih.gov/36947058/","Clinical Effectiveness and Cost-Effectiveness of Supported Mindfulness-Based Cognitive Therapy Self-help Compared With Supported Cognitive Behavioral Therapy Self-help for Adults Experiencing Depression: The Low-Intensity Guided Help Through Mindfulness (LIGHTMind) Randomized Clinical Trial.","JAMA psychiatry","2023-05-01","Returned PubMed publication_date metadata","36947058","10.1001/jamapsychiatry.2023.0222","https://doi.org/10.1001/jamapsychiatry.2023.0222","Randomized Controlled Trial; Journal Article; Research Support, Non-U.S. Gov't; Equivalence Trial"
"excluded","Process analysis of coping changes during dialectical behavior therapy; no randomized mindfulness intervention is evaluated.","PubMed","https://pubmed.ncbi.nlm.nih.gov/36893659/","Less is more: Decreasing the frequency of maladaptive coping predicts improvements in DBT more consistently than increasing the frequency of adaptive coping.","Behaviour research and therapy","2023-04","Returned PubMed publication_date metadata","36893659","10.1016/j.brat.2023.104288","https://doi.org/10.1016/j.brat.2023.104288","Journal Article"
"included","Primary randomized equivalence trial comparing MBSR with escitalopram for adult anxiety disorders.","PubMed","https://pubmed.ncbi.nlm.nih.gov/36350591/","Mindfulness-Based Stress Reduction vs Escitalopram for the Treatment of Adults With Anxiety Disorders: A Randomized Clinical Trial.","JAMA psychiatry","2023-01-01","Returned PubMed publication_date metadata","36350591","10.1001/jamapsychiatry.2022.3679","https://doi.org/10.1001/jamapsychiatry.2022.3679","Randomized Controlled Trial; Journal Article; Research Support, Non-U.S. Gov't; Research Support, N.I.H., Extramural; Equivalence Trial"
"excluded","Published corrigendum to a 2017 mindfulness trial, not a new trial report within the date window.","PubMed","https://pubmed.ncbi.nlm.nih.gov/36435149/","Corrigendum to ""Brief training in mindfulness meditation reduces symptoms in patients with a chronic or recurrent lifetime history of depression: A randomized controlled study"" [Behaviour Research and Therapy 99 (2017) 124-130].","Behaviour research and therapy","2022-12","Returned PubMed publication_date metadata","36435149","10.1016/j.brat.2022.104225","https://doi.org/10.1016/j.brat.2022.104225","Published Erratum"
"uncertain","Primary three-arm RCT of multicomponent fibromyalgia programs; mindfulness and cognitive restructuring are bundled with physiotherapy components, so the independent mindfulness intervention scope is ambiguous.","PubMed","https://pubmed.ncbi.nlm.nih.gov/36116229/","Effectiveness of two video-based multicomponent treatments for fibromyalgia: The added value of cognitive restructuring and mindfulness in a three-arm randomised controlled trial.","Behaviour research and therapy","2022-11","Returned PubMed publication_date metadata","36116229","10.1016/j.brat.2022.104188","https://doi.org/10.1016/j.brat.2022.104188","Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't"
"excluded","Primary RCT of acceptance-enhanced behavior therapy for trichotillomania; the intervention is not identified as mindfulness-based.","PubMed","https://pubmed.ncbi.nlm.nih.gov/36099688/","Acceptance-enhanced behavior therapy for trichotillomania in adults: A randomized clinical trial.","Behaviour research and therapy","2022-11","Returned PubMed publication_date metadata","36099688","10.1016/j.brat.2022.104187","https://doi.org/10.1016/j.brat.2022.104187","Journal Article; Randomized Controlled Trial; Research Support, N.I.H., Extramural"
"excluded","Conceptual review of an idionomic approach to processes of change, not a randomized intervention trial.","PubMed","https://pubmed.ncbi.nlm.nih.gov/35863243/","Evolving an idionomic approach to processes of change: Towards a unified personalized science of human improvement.","Behaviour research and therapy","2022-09","Returned PubMed publication_date metadata","35863243","10.1016/j.brat.2022.104155","https://doi.org/10.1016/j.brat.2022.104155","Journal Article; Review; Research Support, Non-U.S. Gov't; Research Support, N.I.H., Extramural"
"excluded","Primary RCT of online parenting acceptance and commitment therapy for families of children with cerebral palsy, not a mindfulness intervention.","PubMed","https://pubmed.ncbi.nlm.nih.gov/35662680/","Parenting Acceptance and Commitment Therapy: An RCT of an online course with families of children with CP.","Behaviour research and therapy","2022-08","Returned PubMed publication_date metadata","35662680","10.1016/j.brat.2022.104129","https://doi.org/10.1016/j.brat.2022.104129","Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't"
"excluded","Cluster RCT of universal process-based CBT; mindfulness is measured as an outcome rather than specified as the intervention.","PubMed","https://pubmed.ncbi.nlm.nih.gov/35659695/","Universal process-based CBT for positive mental health in early adolescence: A cluster randomized controlled trial.","Behaviour research and therapy","2022-07","Returned PubMed publication_date metadata","35659695","10.1016/j.brat.2022.104120","https://doi.org/10.1016/j.brat.2022.104120","Journal Article; Randomized Controlled Trial"
"excluded","Within- and between-person state-effects analysis from Mindfulness-Oriented Recovery Enhancement data, not the primary randomized trial report.","PubMed","https://pubmed.ncbi.nlm.nih.gov/35248875/","Mindfulness-Oriented Recovery Enhancement reduces opioid craving, pain, and negative affect among chronic pain patients on long-term opioid therapy: An analysis of within- and between-person state effects.","Behaviour research and therapy","2022-05","Returned PubMed publication_date metadata","35248875","10.1016/j.brat.2022.104066","https://doi.org/10.1016/j.brat.2022.104066","Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't"
"excluded","Individual-participant-data meta-analysis of autobiographical memory and outcomes after MBCT, not an individual randomized trial report.","PubMed","https://pubmed.ncbi.nlm.nih.gov/35121385/","Autobiographical memory style and clinical outcomes following mindfulness-based cognitive therapy (MBCT): An individual patient data meta-analysis.","Behaviour research and therapy","2022-04","Returned PubMed publication_date metadata","35121385","10.1016/j.brat.2022.104048","https://doi.org/10.1016/j.brat.2022.104048","Journal Article; Meta-Analysis; Research Support, Non-U.S. Gov't"
"uncertain","Reports randomized MBCT-S versus enhanced usual care effects on attentional control, but the abstract does not clarify whether this is the primary trial report or a secondary outcome publication.","PubMed","https://pubmed.ncbi.nlm.nih.gov/34700258/","Attentional control may be modifiable with Mindfulness-Based Cognitive Therapy to Prevent Suicide.","Behaviour research and therapy","2021-12","Returned PubMed publication_date metadata","34700258","10.1016/j.brat.2021.103988","https://doi.org/10.1016/j.brat.2021.103988","Journal Article; Randomized Controlled Trial; Research Support, U.S. Gov't, Non-P.H.S."
"excluded","Autoregressive latent-trajectory process analysis of self-compassion and affect during MBCL, not the primary randomized trial report.","PubMed","https://pubmed.ncbi.nlm.nih.gov/34479145/","Interplay between self-compassion and affect during Mindfulness-Based Compassionate Living for recurrent depression: An Autoregressive Latent Trajectory analysis.","Behaviour research and therapy","2021-11","Returned PubMed publication_date metadata","34479145","10.1016/j.brat.2021.103946","https://doi.org/10.1016/j.brat.2021.103946","Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't"
"excluded","Intensive experience-sampling study of adverse effects during mindfulness training; the abstract does not report randomized allocation.","PubMed","https://pubmed.ncbi.nlm.nih.gov/34385088/","First, do no harm: An intensive experience sampling study of adverse effects to mindfulness training.","Behaviour research and therapy","2021-10","Returned PubMed publication_date metadata","34385088","10.1016/j.brat.2021.103941","https://doi.org/10.1016/j.brat.2021.103941","Journal Article; Research Support, Non-U.S. Gov't"
"included","Randomized clinical trial comparing CBT with mindfulness meditation and reporting brain-change outcomes during reappraisal and acceptance.","PubMed","https://pubmed.ncbi.nlm.nih.gov/34287622/","Evaluation of Cognitive Behavioral Therapy vs Mindfulness Meditation in Brain Changes During Reappraisal and Acceptance Among Patients With Social Anxiety Disorder: A Randomized Clinical Trial.","JAMA psychiatry","2021-10-01","Returned PubMed publication_date metadata","34287622","10.1001/jamapsychiatry.2021.1862","https://doi.org/10.1001/jamapsychiatry.2021.1862","Journal Article; Randomized Controlled Trial; Research Support, N.I.H., Extramural"
"excluded","Individual-participant-data meta-analysis of antidepressant continuation and sequential psychological interventions, not an individual trial report.","PubMed","https://pubmed.ncbi.nlm.nih.gov/34009273/","Continuation of Antidepressants vs Sequential Psychological Interventions to Prevent Relapse in Depression: An Individual Participant Data Meta-analysis.","JAMA psychiatry","2021-08-01","Returned PubMed publication_date metadata","34009273","10.1001/jamapsychiatry.2021.0823","https://doi.org/10.1001/jamapsychiatry.2021.0823","Journal Article; Meta-Analysis; Research Support, Non-U.S. Gov't"
"included","Primary RCT of a mindfulness-based university-student program with and without virtual-reality support.","PubMed","https://pubmed.ncbi.nlm.nih.gov/33957506/","Efficacy of a mindfulness-based programme with and without virtual reality support to reduce stress in university students: A randomized controlled trial.","Behaviour research and therapy","2021-07","Returned PubMed publication_date metadata","33957506","10.1016/j.brat.2021.103866","https://doi.org/10.1016/j.brat.2021.103866","Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't"
"excluded","Randomized experiment of the attention training technique for worry; it does not test a mindfulness intervention.","PubMed","https://pubmed.ncbi.nlm.nih.gov/33872957/","A randomized experimental analysis of the attention training technique: Effects on worry and relevant processes in individuals with probable generalized anxiety disorder.","Behaviour research and therapy","2021-06","Returned PubMed publication_date metadata","33872957","10.1016/j.brat.2021.103863","https://doi.org/10.1016/j.brat.2021.103863","Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't"
"included","Primary randomized controlled study of technology-supported mindfulness meditation versus waitlist for obsessive-compulsive disorder.","PubMed","https://pubmed.ncbi.nlm.nih.gov/33310604/","Technology supported mindfulness for obsessive compulsive disorder: Self-reported mindfulness and EEG correlates of mind wandering.","Behaviour research and therapy","2021-01","Returned PubMed publication_date metadata","33310604","10.1016/j.brat.2020.103757","https://doi.org/10.1016/j.brat.2020.103757","Journal Article; Randomized Controlled Trial"
"excluded","Two-year observational predictor study of perfectionism, mindfulness, self-compassion, anxiety, and depression; no intervention was randomized.","PubMed","https://pubmed.ncbi.nlm.nih.gov/33259957/","Self-critical perfectionism and lower mindfulness and self-compassion predict anxious and depressive symptoms over two years.","Behaviour research and therapy","2021-01","Returned PubMed publication_date metadata","33259957","10.1016/j.brat.2020.103780","https://doi.org/10.1016/j.brat.2020.103780","Journal Article; Research Support, Non-U.S. Gov't"
"excluded","Systematic review and meta-analysis of mindfulness- and acceptance-based interventions, not an individual trial report.","PubMed","https://pubmed.ncbi.nlm.nih.gov/33011486/","A systematic review and meta-analysis of mindfulness- and acceptance-based interventions for affect intolerance/sensitivity.","Behaviour research and therapy","2020-12","Returned PubMed publication_date metadata","33011486","10.1016/j.brat.2020.103746","https://doi.org/10.1016/j.brat.2020.103746","Journal Article; Meta-Analysis; Research Support, N.I.H., Extramural; Systematic Review"
"included","Primary randomized trial of the Mind-OP mindfulness/self-compassion program versus an active control on MTurk.","PubMed","https://pubmed.ncbi.nlm.nih.gov/32942203/","Examining the effectiveness of an online program to cultivate mindfulness and self-compassion skills (Mind-OP): Randomized controlled trial on Amazon's Mechanical Turk.","Behaviour research and therapy","2020-11","Returned PubMed publication_date metadata","32942203","10.1016/j.brat.2020.103724","https://doi.org/10.1016/j.brat.2020.103724","Journal Article"
"excluded","Ecological momentary assessment study of cognitive and affective states in premenstrual dysphoric disorder; no mindfulness intervention was randomized.","PubMed","https://pubmed.ncbi.nlm.nih.gov/32497737/","Reciprocal effects between cognitive and affective states in women with Premenstrual Dysphoric Disorder: An Ecological Momentary Assessment study.","Behaviour research and therapy","2020-08","Returned PubMed publication_date metadata","32497737","10.1016/j.brat.2020.103613","https://doi.org/10.1016/j.brat.2020.103613","Journal Article; Research Support, Non-U.S. Gov't"
"included","Primary randomized clinical trial of online MBCT for residual depressive symptoms.","PubMed","https://pubmed.ncbi.nlm.nih.gov/31995132/","Outcomes of Online Mindfulness-Based Cognitive Therapy for Patients With Residual Depressive Symptoms: A Randomized Clinical Trial.","JAMA psychiatry","2020-06-01","Returned PubMed publication_date metadata","31995132","10.1001/jamapsychiatry.2019.4693","https://doi.org/10.1001/jamapsychiatry.2019.4693","Journal Article; Randomized Controlled Trial; Research Support, N.I.H., Extramural"
"excluded","Experimental study of worry and sustained attention; it does not evaluate a mindfulness intervention.","PubMed","https://pubmed.ncbi.nlm.nih.gov/32217356/","Worry alters speed-accuracy tradeoffs but does not impair sustained attention.","Behaviour research and therapy","2020-05","Returned PubMed publication_date metadata","32217356","10.1016/j.brat.2020.103597","https://doi.org/10.1016/j.brat.2020.103597","Journal Article; Research Support, N.I.H., Extramural"
"excluded","Randomized dismantling trial of open and engaged ACT components; the tested intervention is ACT rather than a defined mindfulness program.","PubMed","https://pubmed.ncbi.nlm.nih.gov/32014692/","A randomized dismantling trial of the open and engaged components of acceptance and commitment therapy in an online intervention for distressed college students.","Behaviour research and therapy","2020-03","Returned PubMed publication_date metadata","32014692","10.1016/j.brat.2020.103557","https://doi.org/10.1016/j.brat.2020.103557","Journal Article; Randomized Controlled Trial"
"excluded","Content review of popular depression and anxiety smartphone apps, not a randomized study.","PubMed","https://pubmed.ncbi.nlm.nih.gov/31707224/","A review of popular smartphone apps for depression and anxiety: Assessing the inclusion of evidence-based content.","Behaviour research and therapy","2019-12","Returned PubMed publication_date metadata","31707224","10.1016/j.brat.2019.103498","https://doi.org/10.1016/j.brat.2019.103498","Journal Article; Research Support, Non-U.S. Gov't"
"excluded","Individual-patient-data moderator analysis pooling three MBCT RCTs, not a primary report of one randomized trial.","PubMed","https://pubmed.ncbi.nlm.nih.gov/31557693/","Added value of Mindfulness-Based Cognitive Therapy for Depression: A Tree-based Qualitative Interaction Analysis.","Behaviour research and therapy","2019-11","Returned PubMed publication_date metadata","31557693","10.1016/j.brat.2019.103467","https://doi.org/10.1016/j.brat.2019.103467","Journal Article; Research Support, Non-U.S. Gov't"
"excluded","Experience-sampling observational study of mindfulness and insight in obsessive-compulsive disorder; no intervention was randomized.","PubMed","https://pubmed.ncbi.nlm.nih.gov/31437777/","Mindfulness predicts insight in obsessive-compulsive disorder over and above OC symptoms: An experience-sampling study.","Behaviour research and therapy","2019-10","Returned PubMed publication_date metadata","31437777","10.1016/j.brat.2019.103449","https://doi.org/10.1016/j.brat.2019.103449","Journal Article; Research Support, Non-U.S. Gov't"
"excluded","Secondary sudden-gains analysis using data from two social-anxiety RCTs, not a primary mindfulness trial report.","PubMed","https://pubmed.ncbi.nlm.nih.gov/31430688/","Do sudden gains predict treatment outcome in social anxiety disorder? Findings from two randomized controlled trials.","Behaviour research and therapy","2019-10","Returned PubMed publication_date metadata","31430688","10.1016/j.brat.2019.103453","https://doi.org/10.1016/j.brat.2019.103453","Journal Article; Randomized Controlled Trial; Research Support, N.I.H., Extramural"
